cluster,month,anchor
0,1,0.038644967989540854
0,2,0.039383199598213965
0,3,0.043381493582542195
0,4,0.04033777111952561
0,5,0.03406741476243233
0,6,0.03573360819751506
0,7,0.027922869033193243
0,8,0.028805833483162006
0,9,0.03392876073949231
0,10,0.03451246375272919
0,11,0.03988265757724335
0,12,0.04035142101727068
1,1,0.03998318233371989
1,2,0.039762777985252136
1,3,0.04317547296908475
1,4,0.04230460447356991
1,5,0.038029778177017276
1,6,0.03339641472747963
1,7,0.027211059803563798
1,8,0.028436773029796535
1,9,0.031042807628696337
1,10,0.034707330964832445
1,11,0.04050984785996029
1,12,0.04055615838411941
2,1,0.039100066105714155
2,2,0.03942349112281531
2,3,0.043608416698555655
2,4,0.04352151348264595
2,5,0.03861697580283965
2,6,0.03275329990285998
2,7,0.02703887466306691
2,8,0.02799555257163314
2,9,0.03076444088341669
2,10,0.035041406482854295
2,11,0.039902047051645316
2,12,0.0405129631509492
3,1,0.04090237002156548
3,2,0.040496948745735346
3,3,0.04513388998065818
3,4,0.04539796152699674
3,5,0.04102829206687127
3,6,0.03639136753448042
3,7,0.029012553581685325
3,8,0.0298543589756694
3,9,0.03203475792955285
3,10,0.036490301346979906
3,11,0.042235675045080336
3,12,0.04277965930462363
4,1,0.04068435927364019
4,2,0.03911872585857387
4,3,0.04527039288667374
4,4,0.045039037360811544
4,5,0.0431332971974153
4,6,0.04222619047127251
4,7,0.03100737741182872
4,8,0.03284104851461044
4,9,0.03568233095064289
4,10,0.036528844569001157
4,11,0.04117840247194751
4,12,0.04094077536474343
5,1,0.03998629640575908
5,2,0.0398848066430362
5,3,0.04463917037592236
5,4,0.04246016225666235
5,5,0.03916716117618116
5,6,0.030863916150416
5,7,0.02653738309633519
5,8,0.027508849929832276
5,9,0.02973041941676024
5,10,0.03617463830353615
5,11,0.038425136911013416
5,12,0.03988752913705654
6,1,0.038663541750043634
6,2,0.04096875093539759
6,3,0.042685887877754194
6,4,0.040850603920895366
6,5,0.034940832185146944
6,6,0.02734163062221858
6,7,0.025020876435273887
6,8,0.0256881499731451
6,9,0.027915422037151003
6,10,0.03206152446677598
6,11,0.035312105272302136
6,12,0.03752352680579867
7,1,0.03804773824859942
7,2,0.037988312012337204
7,3,0.0404759026589993
7,4,0.04042464688775943
7,5,0.0422727076436544
7,6,0.0374501195824517
7,7,0.03603642653544691
7,8,0.034316612138767306
7,9,0.035522553606096526
7,10,0.03706659877730584
7,11,0.039704336919820685
7,12,0.03640349162271028
8,1,0.03542799277647003
8,2,0.03518400902946114
8,3,0.040144071643745304
8,4,0.03574591060774872
8,5,0.03194413532611655
8,6,0.0324121005998057
8,7,0.027699654249470455
8,8,0.027792304058970166
8,9,0.03129896513081863
8,10,0.03305806552860508
8,11,0.03689690398460563
8,12,0.036990941117166797
9,1,0.03809913886779567
9,2,0.03838991171163726
9,3,0.04663934474125504
9,4,0.04641182697493122
9,5,0.03960226083927283
9,6,0.036813912805072395
9,7,0.028303204606449035
9,8,0.02877637295150008
9,9,0.031841656300377344
9,10,0.033906536913853785
9,11,0.03863028192537324
9,12,0.03878603463578009
10,1,0.045328083866246593
10,2,0.040998621619931216
10,3,0.04289991692659761
10,4,0.043061239496100266
10,5,0.04623612171208824
10,6,0.04459264847379978
10,7,0.03305463161549523
10,8,0.03583127379745808
10,9,0.03840926726558044
10,10,0.038939330398732874
10,11,0.04683242346103387
10,12,0.04494078302336657
11,1,0.045047672332635964
11,2,0.04303035201774063
11,3,0.04633065656225026
