lat_r,lon_r,cluster
10.6,92.4,977
10.6,92.5,1214
10.7,92.4,977
10.7,92.5,1214
10.8,92.4,1906
10.8,92.5,1906
10.9,92.5,1906
11.6,92.7,767
11.7,92.6,767
12.3,92.8,1265
12.4,92.8,1590
12.5,92.8,1590
12.5,92.9,566
12.6,92.9,566
12.9,92.7,537
13.0,92.7,1479
13.0,92.8,1479
13.1,92.8,86
13.1,92.9,86
13.1,93.0,6
13.2,92.9,6
13.2,93.0,6
13.3,92.9,414
13.3,93.0,414
13.4,92.9,414
13.4,93.0,414
13.5,92.9,143
13.5,93.0,143
13.6,93.0,143
13.7,93.0,143
6.9,93.8,1705
7.0,93.8,1705
7.0,93.9,1705
7.1,93.7,1705
7.1,93.8,1705
7.1,93.9,1705
7.2,93.7,1705
7.2,93.8,1705
7.4,93.7,1705
8.0,93.4,28
8.1,93.5,28
8.2,93.5,28
9.2,92.8,1093
12.6,92.8,566
12.7,92.8,566
12.7,92.9,566
12.8,92.8,1021
12.8,92.9,1021
12.9,92.8,1021
12.9,92.9,1021
8.3,93.1,28
12.4,92.7,1590
11.8,92.6,767
11.8,92.7,767
11.9,92.6,1849
11.9,92.7,1849
12.0,92.6,1849
12.0,92.7,1849
12.1,92.7,1849
12.2,92.7,1265
12.2,92.8,1265
12.0,93.0,247
12.3,93.1,247
11.4,92.6,767
24.2,92.5,517
24.3,92.3,121
24.3,92.4,121
24.3,92.5,517
24.3,92.6,517
24.4,92.3,121
24.4,92.4,121
24.4,92.5,1839
24.4,92.6,1839
24.4,92.7,1542
24.4,92.9,40
24.4,93.0,40
24.5,92.3,121
24.5,92.4,50
24.5,92.5,1839
24.5,92.6,1542
24.5,92.7,1542
24.5,92.8,1172
24.5,92.9,40
24.5,93.0,40
24.6,92.3,1797
24.6,92.4,50
24.6,92.6,503
24.6,92.7,503
24.6,92.8,1172
24.6,92.9,1172
24.6,93.0,877
24.7,92.3,1797
24.7,92.4,1797
24.7,92.5,50
24.7,92.6,503
24.7,92.7,503
24.7,92.8,915
24.7,92.9,915
24.7,93.0,877
24.7,93.1,877
24.8,92.5,379
24.8,92.6,379
24.8,92.7,915
24.8,92.8,915
24.8,92.9,915
24.8,93.0,1243
24.8,93.1,1243
24.9,92.6,379
24.9,92.7,379
24.9,92.8,830
24.9,92.9,830
24.9,93.0,1243
24.9,93.1,1243
24.9,93.2,154
25.0,92.5,379
25.0,92.6,379
25.0,92.7,379
25.0,92.8,830
25.0,92.9,830
25.0,93.0,126
25.0,93.1,154
25.0,93.2,154
25.1,92.7,830
25.1,92.8,830
25.1,92.9,830
25.1,93.0,126
25.1,93.1,126
25.1,93.2,1269
25.2,92.8,460
25.2,92.9,460
25.2,93.0,126
25.2,93.2,1269
25.2,93.3,1269
25.3,92.8,460
25.3,93.1,104
25.4,92.8,1468
25.4,92.9,460
25.4,93.2,1576
25.5,93.0,629
25.5,93.1,589
25.5,93.2,589
25.5,93.3,1558
25.6,89.9,1047
25.6,92.5,344
25.6,93.0,1928
25.6,93.1,1020
25.6,93.2,1739
25.6,93.3,1558
25.6,93.4,1558
25.7,92.2,285
25.7,92.5,344
25.7,92.7,266
25.7,92.8,1166
25.7,92.9,1166
25.7,93.2,1739
25.7,93.3,1433
25.7,93.4,1433
25.8,92.2,285
25.8,92.3,285
25.8,92.4,285
25.8,92.5,855
25.8,92.8,226
25.8,92.9,1166
25.8,93.2,1351
25.8,93.3,1433
25.8,93.4,1433
25.8,93.6,1396
25.8,93.8,1812
25.9,89.9,183
25.9,90.0,183
25.9,91.0,1354
25.9,91.1,1354
25.9,93.3,685
25.9,93.5,1396
25.9,93.6,1396
26.0,89.9,183
26.0,90.0,183
26.0,90.1,316
26.0,90.2,316
26.0,90.3,1478
26.0,90.4,1478
26.0,90.5,1001
26.0,90.8,1207
26.0,90.9,1207
26.0,91.0,1354
26.0,91.9,1186
26.0,92.6,1025
26.0,92.8,1682
26.0,92.9,130
26.0,93.0,130
26.0,93.1,438
26.1,89.9,1208
26.1,90.0,1124
26.1,90.1,316
26.1,90.2,316
26.1,90.3,1478
26.1,90.4,1478
26.1,90.5,1001
26.1,90.6,1001
26.1,90.7,1001
26.1,90.8,911
26.1,90.9,911
26.1,91.0,1732
26.1,92.0,1186
26.1,92.1,1489
26.1,92.2,1489
26.1,92.6,135
26.1,92.7,1682
26.1,92.9,1348
26.1,93.0,1348
26.1,93.1,916
26.2,89.9,1208
26.2,90.0,1124
26.2,90.1,316
26.2,90.2,316
26.2,90.4,1478
26.2,90.6,1001
26.2,90.7,1001
26.2,90.8,911
26.2,91.0,1710
26.2,91.1,1710
26.2,91.2,1654
26.2,91.3,1654
26.2,92.0,180
26.2,92.1,180
26.2,92.2,580
26.2,92.3,580
26.2,92.4,363
26.2,93.0,1348
26.2,93.1,916
26.3,89.9,1011
26.3,90.0,1950
26.3,90.1,1950
26.3,90.2,142
26.3,90.3,142
26.3,90.4,576
26.3,90.5,576
26.3,90.6,576
26.3,90.7,743
26.3,90.8,743
26.3,90.9,294
26.3,91.3,452
26.3,91.4,452
26.3,92.0,180
26.3,92.1,180
26.3,92.2,580
26.3,92.3,580
26.3,92.4,1787
26.3,92.6,636
26.3,92.7,636
26.3,92.8,1954
26.3,92.9,1954
26.3,93.1,1436
26.3,93.2,874
26.4,89.9,1011
26.4,90.0,753
26.4,90.1,753
26.4,90.2,142
26.4,90.3,142
26.4,90.4,576
26.4,90.5,576
26.4,90.6,576
26.4,90.7,743
26.4,90.8,743
26.4,90.9,294
26.4,91.3,452
26.4,91.4,1734
26.4,92.0,1045
26.4,92.1,1045
26.4,92.2,737
26.4,92.3,737
26.4,92.4,58
26.4,92.6,441
26.4,92.7,441
26.4,92.8,1954
26.4,92.9,98
26.4,93.1,159
26.5,90.0,753
26.5,90.1,753
26.5,90.2,549
26.5,90.3,549
26.5,90.5,1335
26.5,90.6,1335
26.5,90.7,743
26.5,90.8,743
26.5,91.2,156
26.5,91.3,156
26.5,91.4,1263
26.5,92.1,1045
26.5,92.2,737
26.5,92.3,737
26.5,92.5,997
26.5,92.6,441
26.5,92.7,441
26.5,92.8,441
26.5,92.9,98
26.6,89.9,1806
26.6,90.0,1806
26.6,90.1,549
26.6,90.3,549
26.6,90.4,1335
26.6,90.5,1335
26.6,90.6,69
26.6,90.7,1192
26.6,91.0,1694
26.6,91.2,1073
26.6,91.3,1073
26.6,91.4,1263
26.6,92.0,489
26.6,92.1,1466
26.6,92.2,1466
26.6,92.3,332
26.6,92.6,441
26.6,92.7,441
26.6,92.9,932
26.6,93.0,699
26.6,93.1,230
26.6,93.2,230
26.7,90.0,1806
26.7,90.1,1042
26.7,90.2,1042
26.7,90.3,1042
