cluster,month,hist_norm
0,1,4.763682
0,2,4.765524
0,3,4.8094754
0,4,4.8709807
0,5,4.8608546
0,6,4.860022
0,7,4.833684
0,8,4.8253093
0,9,4.820374
0,10,4.809485
0,11,4.775361
0,12,4.7703524
1,1,4.7238846
1,2,4.744515
1,3,4.770691
1,4,4.838428
1,5,4.8628573
1,6,4.8330216
1,7,4.8272915
1,8,4.819018
1,9,4.829348
1,10,4.8210716
1,11,4.766885
1,12,4.7524467
2,1,4.869283
2,2,4.8697567
2,3,4.8836
2,4,4.9442425
2,5,4.9147134
2,6,4.8958797
2,7,4.851912
2,8,4.842535
2,9,4.846874
2,10,4.820636
2,11,4.8354187
2,12,4.8513227
3,1,4.7399244
3,2,4.7596607
3,3,4.811747
3,4,4.8955054
3,5,4.868792
3,6,4.8615813
3,7,4.820001
3,8,4.823297
3,9,4.8179216
3,10,4.800267
3,11,4.7674274
3,12,4.781103
4,1,4.7814717
4,2,4.7941446
4,3,4.8115373
4,4,4.8753347
4,5,4.8770304
4,6,4.882643
4,7,4.84274
4,8,4.8349967
4,9,4.846162
4,10,4.8035817
4,11,4.7952437
4,12,4.776565
5,1,4.7233534
5,2,4.736044
5,3,4.7885814
5,4,4.8492436
5,5,4.8526554
5,6,4.858018
5,7,4.838969
5,8,4.8257356
5,9,4.828246
5,10,4.8154216
5,11,4.7827063
5,12,4.7473974
6,1,4.6932855
6,2,4.728024
6,3,4.742343
6,4,4.8084354
6,5,4.8312745
6,6,4.8242397
6,7,4.8183036
6,8,4.820884
6,9,4.816346
6,10,4.809798
6,11,4.758635
6,12,4.7322774
7,1,4.790781
7,2,4.793105
7,3,4.847619
7,4,4.8968377
7,5,4.8969593
7,6,4.8587384
7,7,4.8358727
7,8,4.824813
7,9,4.825727
7,10,4.813511
7,11,4.7921987
7,12,4.797712
8,1,4.74089
8,2,4.7477803
8,3,4.7648335
8,4,4.8274446
8,5,4.826656
8,6,4.839196
8,7,4.8285837
8,8,4.818315
8,9,4.81649
8,10,4.790542
8,11,4.763437
8,12,4.71517
9,1,4.761539
9,2,4.782719
9,3,4.8394446
9,4,4.891008
9,5,4.8621116
9,6,4.854164
9,7,4.8337026
9,8,4.8205457
9,9,4.8328013
9,10,4.810242
9,11,4.8112416
9,12,4.828538
10,1,4.7414403
10,2,4.7500834
10,3,4.8105407
10,4,4.865686
10,5,4.8737674
10,6,4.8639545
10,7,4.838529
10,8,4.830213
10,9,4.827193
10,10,4.8199635
10,11,4.7840466
10,12,4.7615933
11,1,4.7057924
11,2,4.730709
11,3,4.7696166
11,4,4.823398
11,5,4.831842
11,6,4.834299
11,7,4.829784
11,8,4.822193
11,9,4.828879
11,10,4.8098717
11,11,4.77878
11,12,4.732905
12,1,4.72033
12,2,4.7374983
12,3,4.7635493
12,4,4.829078
12,5,4.8632727
12,6,4.847059
12,7,4.836723
12,8,4.820924
12,9,4.8358145
12,10,4.825338
12,11,4.7837777
12,12,4.7468657
13,1,4.7961483
13,2,4.780945
13,3,4.8478026
13,4,4.896508
13,5,4.8672404
13,6,4.86014
13,7,4.8170233
13,8,4.8121448
13,9,4.816103
13,10,4.793291
13,11,4.7626657
13,12,4.773314
14,1,4.785509
14,2,4.7874784
14,3,4.848878
14,4,4.8900204
14,5,4.8859406
14,6,4.863189
14,7,4.83384
14,8,4.8298745
14,9,4.8215256
14,10,4.818739
14,11,4.777892
14,12,4.7835073
15,1,4.8459396
15,2,4.880324
15,3,4.871171
15,4,4.9525113
15,5,4.9025064
15,6,4.882924
15,7,4.85698
15,8,4.8448777
15,9,4.8424315
15,10,4.8182106
15,11,4.8202734
15,12,4.8514833
16,1,4.7950583
16,2,4.7946715
16,3,4.829607
16,4,4.9019895
16,5,4.893812
16,6,4.873261
16,7,4.82433
16,8,4.8257947
16,9,4.818756
16,10,4.8043723
16,11,4.7710576
16,12,4.788465
17,1,4.8831744
17,2,4.8986135
17,3,4.880053
17,4,4.946826
17,5,4.892585
17,6,4.869083
17,7,4.8336697
17,8,4.816395
17,9,4.8144116
17,10,4.8017464
17,11,4.8157077
17,12,4.8791733
18,1,4.7443223
18,2,4.7550764
18,3,4.801037
18,4,4.879354
18,5,4.855354
18,6,4.8154545
18,7,4.791272
18,8,4.786902
18,9,4.791952
18,10,4.781994
18,11,4.801549
18,12,4.825323
19,1,4.8008204
19,2,4.776042
19,3,4.814599
19,4,4.879126
19,5,4.8891077
19,6,4.8606324
19,7,4.8349347
19,8,4.8306346
19,9,4.839026
19,10,4.7915406
19,11,4.7766266
19,12,4.756714
20,1,4.708058
20,2,4.731782
20,3,4.7782707
20,4,4.851778
20,5,4.8476057
20,6,4.8601856
20,7,4.8284764
20,8,4.8219366
20,9,4.806717
20,10,4.7953897
20,11,4.767753
20,12,4.782013
21,1,4.7275286
21,2,4.745071
21,3,4.766269
21,4,4.8467145
21,5,4.8727584
21,6,4.8517265
21,7,4.8333516
21,8,4.826732
21,9,4.837026
21,10,4.823687
21,11,4.7691836
21,12,4.7669206
22,1,4.707235
22,2,4.7508483
22,3,4.748872
22,4,4.821689
22,5,4.8406
22,6,4.8373876
22,7,4.8364987
22,8,4.81655
22,9,4.832401
22,10,4.8202815
22,11,4.777204
22,12,4.7439294
23,1,4.7478733
23,2,4.752668
23,3,4.8289943
23,4,4.8861628
23,5,4.866746
23,6,4.8639417
23,7,4.841301
23,8,4.821525
23,9,4.830785
23,10,4.8218055
23,11,4.8187413
23,12,4.8123946
24,1,4.779754
24,2,4.8091145
24,3,4.8461523
24,4,4.9171486
24,5,4.8865223
24,6,4.8695025
24,7,4.836125
24,8,4.8205023
24,9,4.835457
24,10,4.8395495
24,11,4.847593
24,12,4.8590245
25,1,4.837192
25,2,4.8716445
25,3,4.8671327
25,4,4.9319553
25,5,4.89513
25,6,4.866754
25,7,4.83899
25,8,4.834147
25,9,4.8365383
25,10,4.811319
25,11,4.8210397
25,12,4.8350596
26,1,4.7802
26,2,4.7750025
26,3,4.824745
26,4,4.8799105
26,5,4.880883
26,6,4.866963
26,7,4.829631
26,8,4.826572
26,9,4.8246965
26,10,4.8219256
26,11,4.773534
26,12,4.782805
27,1,4.8341446
27,2,4.7977357
27,3,4.8239503
27,4,4.9098067
27,5,4.893201
27,6,4.865855
27,7,4.8303022
27,8,4.8298874
27,9,4.833358
27,10,4.8063645
27,11,4.79718
27,12,4.8000526
28,1,4.7829156
28,2,4.777411
28,3,4.8146353
28,4,4.875718
28,5,4.8735757
28,6,4.864885
28,7,4.831589
28,8,4.81782
28,9,4.8236246
28,10,4.8089733
28,11,4.778817
28,12,4.769517
29,1,4.7331147
29,2,4.7297974
29,3,4.7910132
29,4,4.8450174
29,5,4.8569407
29,6,4.8601613
29,7,4.8337417
29,8,4.8252125
29,9,4.8272157
29,10,4.8073263
29,11,4.7679133
29,12,4.747768
30,1,4.76331
30,2,4.754507
30,3,4.7954245
30,4,4.867206
30,5,4.894084
30,6,4.8692493
30,7,4.8454757
30,8,4.83549
30,9,4.85608
30,10,4.8081765
30,11,4.7821665
30,12,4.759288
31,1,4.761056
31,2,4.764828
31,3,4.8072596
31,4,4.858201
31,5,4.8740873
31,6,4.8658338
31,7,4.835919
31,8,4.8310437
31,9,4.8253326
31,10,4.812398
31,11,4.776276
31,12,4.7512255
32,1,4.726332
32,2,4.737281
32,3,4.7684298
32,4,4.827812
32,5,4.8569355
32,6,4.8494306
32,7,4.8370023
32,8,4.8156857
32,9,4.836905
32,10,4.811228
32,11,4.776626
32,12,4.743054
33,1,4.8793316
33,2,4.8539023
33,3,4.8735485
33,4,4.9300213
33,5,4.921881
33,6,4.8886347
33,7,4.8505864
33,8,4.847464
33,9,4.8473854
33,10,4.8345556
33,11,4.870183
33,12,4.9000716
34,1,4.740687
34,2,4.7422223
34,3,4.7895937
34,4,4.820026
34,5,4.819328
34,6,4.834873
34,7,4.8141665
34,8,4.8207893
34,9,4.8064427
34,10,4.777099
34,11,4.7570167
34,12,4.70986
35,1,4.817922
35,2,4.7823105
35,3,4.828709
35,4,4.9144254
35,5,4.8826957
35,6,4.867067
35,7,4.8206196
35,8,4.8193426
35,9,4.821666
35,10,4.797604
35,11,4.773786
35,12,4.79738
36,1,4.8320317
36,2,4.7822614
36,3,4.8252373
36,4,4.913972
36,5,4.8927145
36,6,4.870434
36,7,4.8298945
36,8,4.8271894
36,9,4.8233175
36,10,4.8048315
36,11,4.779134
36,12,4.793364
37,1,4.698902
37,2,4.736502
37,3,4.753126
37,4,4.807574
37,5,4.8168664
37,6,4.8329244
37,7,4.831135
37,8,4.8209734
37,9,4.8358755
37,10,4.809362
37,11,4.77336
37,12,4.7424808
38,1,4.720304
38,2,4.7589264
38,3,4.7717466
38,4,4.8400936
38,5,4.849224
38,6,4.847497
38,7,4.835445
38,8,4.8217926
38,9,4.825298
38,10,4.8118744
38,11,4.789293
38,12,4.7508135
39,1,4.8024697
39,2,4.7739472
39,3,4.806768
39,4,4.8987155
39,5,4.895259
39,6,4.876902
39,7,4.846699
39,8,4.8366537
39,9,4.841444
39,10,4.80749
39,11,4.7960353
39,12,4.767415
40,1,4.765355
40,2,4.748207
40,3,4.7983155
40,4,4.865172
40,5,4.891682
40,6,4.859633
40,7,4.8387904
40,8,4.835645
40,9,4.8448358
40,10,4.81941
40,11,4.7895436
40,12,4.756665
41,1,4.857011
41,2,4.9020143
41,3,4.8578353
41,4,4.927476
41,5,4.8777776
41,6,4.8435636
41,7,4.814783
41,8,4.8075924
41,9,4.7992306
41,10,4.7806644
41,11,4.8016424
41,12,4.8466263
42,1,4.747078
42,2,4.7386684
42,3,4.799943
42,4,4.8547807
42,5,4.8677697
42,6,4.858233
42,7,4.833669
42,8,4.8248587
42,9,4.8292713
42,10,4.8177943
42,11,4.772913
42,12,4.749867
43,1,4.7040095
43,2,4.728971
43,3,4.764636
43,4,4.7846446
43,5,4.7959304
43,6,4.8068285
43,7,4.8132157
43,8,4.8107457
43,9,4.8124156
43,10,4.7955713
43,11,4.7611756
43,12,4.7129836
44,1,4.831212
44,2,4.862618
44,3,4.877053
44,4,4.9448967
44,5,4.899333
44,6,4.874446
44,7,4.847031
44,8,4.8387733
44,9,4.843495
44,10,4.818762
44,11,4.821524
44,12,4.8361
45,1,4.8149943
45,2,4.8240685
45,3,4.860214
45,4,4.911975
45,5,4.8893447
45,6,4.880345
45,7,4.8343053
45,8,4.826852
45,9,4.826211
45,10,4.810105
45,11,4.797997
45,12,4.7979717
46,1,4.770137
46,2,4.7673397
46,3,4.8445635
46,4,4.895822
46,5,4.8627872
46,6,4.8767567
46,7,4.830186
46,8,4.823248
46,9,4.8427567
46,10,4.819761
46,11,4.811154
46,12,4.8350263
47,1,4.718296
47,2,4.7439656
47,3,4.7620263
47,4,4.863108
47,5,4.8474493
47,6,4.8551526
47,7,4.820252
47,8,4.814832
47,9,4.811198
47,10,4.8106804
47,11,4.7624435
47,12,4.761229
48,1,4.7570634
48,2,4.7574043
48,3,4.810303
48,4,4.870375
48,5,4.865764
48,6,4.8633313
48,7,4.827058
48,8,4.8217506
48,9,4.8266926
48,10,4.8186994
48,11,4.7772675
48,12,4.7678084
49,1,4.719258
49,2,4.7275662
49,3,4.7750816
49,4,4.8328686
49,5,4.8406982
49,6,4.842271
49,7,4.8367968
49,8,4.8181834
49,9,4.827118
49,10,4.8183284
49,11,4.783339
49,12,4.743955
50,1,4.7027907
50,2,4.7326717
50,3,4.743952
50,4,4.814981
50,5,4.839259
50,6,4.8288565
50,7,4.8321266
50,8,4.8237667
50,9,4.8340187
50,10,4.822853
50,11,4.7716784
50,12,4.733634
51,1,4.7919126
51,2,4.7941194
51,3,4.8124723
51,4,4.888886
51,5,4.9056973
51,6,4.875862
51,7,4.8423963
51,8,4.8347864
51,9,4.8407845
51,10,4.8042483
51,11,4.784242
51,12,4.7746987
52,1,4.7383766
52,2,4.7353215
52,3,4.781627
52,4,4.8404307
52,5,4.8568997
52,6,4.840909
52,7,4.835041
52,8,4.8233624
52,9,4.8270893
52,10,4.8202453
52,11,4.7673035
52,12,4.7502446
53,1,4.711069
53,2,4.7383447
53,3,4.817305
53,4,4.8305225
53,5,4.8374343
53,6,4.8227253
53,7,4.7935486
53,8,4.8000884
53,9,4.7997646
53,10,4.782387
53,11,4.7882843
53,12,4.800757
54,1,4.741482
54,2,4.772844
54,3,4.8173585
54,4,4.874357
54,5,4.857855
54,6,4.855172
54,7,4.8221226
54,8,4.8134294
54,9,4.826587
54,10,4.808169
54,11,4.791236
54,12,4.804438
55,1,4.756692
55,2,4.730738
55,3,4.816136
55,4,4.8718734
55,5,4.87327
55,6,4.860785
55,7,4.8313537
55,8,4.825038
55,9,4.826412
55,10,4.811956
55,11,4.774596
55,12,4.7640023
56,1,4.915849
56,2,4.9367523
56,3,4.895347
56,4,4.9985747
56,5,4.9146028
56,6,4.8920345
56,7,4.857165
56,8,4.8326087
56,9,4.8311195
56,10,4.812972
56,11,4.820673
56,12,4.896579
57,1,4.816292
57,2,4.82731
57,3,4.8584323
57,4,4.916244
57,5,4.887651
57,6,4.86406
57,7,4.8296638
57,8,4.8279386
57,9,4.8210034
57,10,4.8002067
57,11,4.7817574
57,12,4.803469
58,1,4.8065495
58,2,4.8316584
58,3,4.861634
58,4,4.9237413
58,5,4.9151874
58,6,4.882917
58,7,4.841845
58,8,4.840178
58,9,4.841926
58,10,4.8308325
58,11,4.841216
58,12,4.872944
59,1,4.7677116
59,2,4.8045125
59,3,4.8408203
59,4,4.9295382
59,5,4.881992
59,6,4.8647504
59,7,4.8264303
59,8,4.822477
59,9,4.830057
59,10,4.8145785
59,11,4.839877
59,12,4.8470163
60,1,4.7422953
60,2,4.7576604
60,3,4.820484
60,4,4.8739157
60,5,4.871119
60,6,4.86212
60,7,4.8359547
60,8,4.8225665
60,9,4.8173585
60,10,4.8160076
60,11,4.775064
60,12,4.759133
61,1,4.8165946
61,2,4.8003917
61,3,4.860842
61,4,4.9133043
61,5,4.881935
61,6,4.8643146
61,7,4.83223
61,8,4.8281865
61,9,4.8337755
61,10,4.814969
61,11,4.787245
61,12,4.7894526
62,1,4.7802544
62,2,4.8158097
62,3,4.795011
62,4,4.900961
62,5,4.867173
62,6,4.8629184
62,7,4.8199825
62,8,4.82174
62,9,4.8217535
62,10,4.8013163
62,11,4.7723193
62,12,4.7749114
63,1,4.749038
63,2,4.7340894
63,3,4.795161
63,4,4.8520894
63,5,4.8737454
63,6,4.865115
63,7,4.8333616
63,8,4.8277802
63,9,4.823515
63,10,4.812887
63,11,4.7716703
63,12,4.760007
64,1,4.746222
64,2,4.786706
64,3,4.8313375
64,4,4.882221
64,5,4.8607197
64,6,4.87058
64,7,4.834622
64,8,4.8248124
64,9,4.838854
64,10,4.8163443
64,11,4.8096843
64,12,4.815076
65,1,4.7003717
65,2,4.725363
65,3,4.751708
65,4,4.8172874
65,5,4.8361335
65,6,4.831474
65,7,4.8295856
65,8,4.817697
65,9,4.8398895
65,10,4.8107243
65,11,4.780295
65,12,4.740335
66,1,4.741667
66,2,4.759892
66,3,4.821267
66,4,4.8862696
66,5,4.863631
66,6,4.8606687
66,7,4.836347
66,8,4.809725
66,9,4.833776
66,10,4.8233814
66,11,4.811342
66,12,4.8273396
67,1,4.7239647
67,2,4.737212
67,3,4.771111
67,4,4.838132
67,5,4.8464446
67,6,4.840772
67,7,4.8254704
67,8,4.825759
67,9,4.837272
67,10,4.813426
67,11,4.784591
67,12,4.755234
68,1,4.7332897
68,2,4.740599
68,3,4.789334
68,4,4.846011
68,5,4.8501496
68,6,4.854197
68,7,4.8343797
68,8,4.8209105
68,9,4.828779
68,10,4.8161488
68,11,4.768726
68,12,4.741579
69,1,4.729155
69,2,4.7628813
69,3,4.7760158
69,4,4.8447924
69,5,4.867425
69,6,4.8487644
69,7,4.8281646
69,8,4.8226423
69,9,4.828507
69,10,4.825954
69,11,4.787033
69,12,4.74455
70,1,4.7915936
70,2,4.77763
70,3,4.818125
70,4,4.8960233
70,5,4.878593
70,6,4.8624578
70,7,4.828007
70,8,4.820023
70,9,4.8240385
70,10,4.8013377
70,11,4.7717414
70,12,4.7674794
71,1,4.7781286
71,2,4.7775416
71,3,4.8338237
71,4,4.8844523
71,5,4.8861856
71,6,4.870981
71,7,4.825523
71,8,4.820358
71,9,4.823006
71,10,4.814006
71,11,4.7761917
