cluster,month,cluster_hist_avg
0,1,496.88665923818684
0,2,536.6286117212054
0,3,384.55158840994136
0,4,409.0397635314779
0,5,331.84996519934043
0,6,371.10383159016936
0,7,197.88023800518283
0,8,251.23221585111156
0,9,265.5777807258322
0,10,296.39217500174243
0,11,334.2056585485089
0,12,464.8320061232232
1,1,525.654904446542
1,2,486.7263104068877
1,3,352.80510898936194
1,4,370.06236418051736
1,5,271.08383699211805
1,6,294.79636820944575
1,7,157.92580231532298
1,8,182.25087761567966
1,9,179.03968293158437
1,10,256.3080075896274
1,11,333.35543228093684
1,12,492.6263397164604
2,1,494.171739877975
2,2,514.8863661321129
2,3,399.7662058857786
2,4,399.0893686721187
2,5,357.1854689360833
2,6,346.774573255465
2,7,229.51039455474933
2,8,231.79670728506244
2,9,216.70131370626743
2,10,301.4509478461634
2,11,362.5911229616991
2,12,520.0918658213394
3,1,467.951522212757
3,2,502.5654882239559
3,3,375.4001997529471
3,4,368.8217008209861
3,5,285.57305378133015
3,6,297.5898810809823
3,7,179.10222553303836
3,8,203.8412293630261
3,9,193.80521293797764
3,10,252.64115340189394
3,11,318.70636799380236
3,12,454.78549356674773
4,1,487.9853983352859
4,2,513.2182906808898
4,3,393.3663301260371
4,4,365.50223556265047
4,5,285.59341647594545
4,6,294.7733242807138
4,7,221.95898062706607
4,8,209.6018306774357
4,9,208.57843215086828
4,10,340.7808356178866
4,11,349.4338745150447
4,12,535.0999850394448
5,1,591.5530977904297
5,2,639.4249808007081
5,3,448.7435507790141
5,4,464.3112061988094
5,5,367.61319451070136
5,6,364.7232409359693
5,7,208.10954463945282
5,8,230.3171006453531
5,9,228.6117856365779
5,10,378.7764699355724
5,11,388.34584116367085
5,12,538.0550089025386
6,1,472.20382392319596
6,2,530.4984371630878
6,3,411.60286748819107
6,4,430.37790823115427
6,5,331.91703933872367
6,6,370.24834614728013
6,7,189.23330477377104
6,8,235.95986654867585
6,9,286.29621349521466
6,10,261.7165370005737
6,11,303.7372273561346
6,12,427.2666825643334
7,1,512.171099444245
7,2,481.6232296886591
7,3,358.27331494435435
7,4,377.66483406771675
7,5,276.3215449944769
7,6,298.6247424246821
7,7,161.40882549778433
7,8,192.96034958287763
7,9,205.42375655040811
7,10,254.27255557316118
7,11,345.8756684640574
7,12,486.7154393145981
8,1,474.87972108312704
8,2,498.97721550867345
8,3,369.2406354881137
8,4,391.99840759645946
8,5,310.2097928156026
8,6,327.26264230444997
8,7,196.55810387684383
8,8,205.27362240536954
8,9,231.20823365953865
8,10,268.08689180001227
8,11,309.64689482297825
8,12,450.48330568912365
9,1,503.2176189909327
9,2,511.18384457619874
9,3,410.75101581931415
9,4,357.8645680040522
9,5,292.2960195897913
9,6,333.2758946120317
9,7,205.0225604757884
9,8,205.2559552319123
9,9,204.6137681742305
9,10,282.2478524283205
9,11,328.0633868857247
9,12,529.4856616896119
10,1,554.5604599310213
10,2,575.793981913146
10,3,425.8083275182856
10,4,457.8094751111288
10,5,337.4034339007438
10,6,347.6216588260886
10,7,219.93744131246623
10,8,232.70898888436736
10,9,276.9797552552791
10,10,328.36368854977826
10,11,344.1372765355816
10,12,496.279869916758
11,1,501.80169169887466
11,2,501.92771226780883
11,3,371.1837557556911
11,4,365.6782416026757
11,5,287.1719399935207
11,6,313.6686947394194
11,7,190.99314513678422
11,8,197.7545711758369
11,9,211.32593171007653
11,10,244.92754832064497
11,11,344.94244386213705
11,12,446.8170148933335
12,1,519.2164745513666
12,2,499.8331128573907
12,3,387.151375609204
12,4,383.52623937699633
12,5,307.6144461227757
12,6,316.12752056322034
12,7,187.40968908271452
12,8,195.40704151694484
12,9,207.73619381347166
12,10,266.027090708252
12,11,352.0635493863911
12,12,473.4332660171491
13,1,476.5580951545781
13,2,463.46146576189875
13,3,388.84450060995
13,4,362.82215752010535
13,5,299.30417479469236
13,6,290.39532901528565
13,7,205.41243278846585
13,8,220.1176742093738
13,9,226.50455323484914
13,10,288.54597791099707
13,11,373.55831013366287
13,12,515.2718437206831
14,1,565.902521697899
14,2,570.2319983154314
14,3,436.8582935753583
14,4,405.34727896537095
14,5,365.2911286690904
14,6,317.4268499131762
14,7,206.6265050174911
14,8,248.1987066860314
14,9,227.50199413720324
14,10,340.79193098144924
14,11,393.9154616828328
14,12,519.0338439308318
15,1,513.7739772105135
15,2,470.7466158186153
15,3,385.8290600634831
15,4,378.80307520397554
15,5,320.0153799987143
15,6,316.5011298389383
15,7,224.21957559193658
15,8,169.64358468674226
15,9,203.21021336015977
15,10,296.4635948881053
15,11,354.28271241683404
15,12,483.4648748267141
16,1,483.35561077942424
16,2,480.02959143146876
16,3,338.307681813738
16,4,351.9387657239728
16,5,249.54947702072363
16,6,288.6681982815874
16,7,143.48452349153465
16,8,187.12700063343294
16,9,164.9244922977234
16,10,234.4569104935865
16,11,299.2040511394066
16,12,496.73039897548483
17,1,511.30751670033044
17,2,504.52493198981205
17,3,398.50931971754
17,4,343.6733605425387
17,5,269.25145518534856
17,6,290.0645109698156
17,7,185.96466809196338
17,8,197.45956069780286
17,9,207.18698738572513
17,10,272.3665155130355
17,11,364.6489655582245
17,12,514.2683000117902
18,1,557.7472556847836
18,2,537.8247284999729
18,3,425.55387177579496
18,4,424.0861863651444
18,5,354.3280355331758
18,6,358.9021669320809
18,7,259.40752138696075
18,8,247.60573163891405
18,9,262.3879501917905
18,10,301.250763707643
18,11,349.4053667817794
18,12,494.7311988446447
19,1,498.18504044719356
19,2,502.02638102588895
19,3,387.970253446798
19,4,340.0256268847084
19,5,276.8665818957859
19,6,275.1634196282393
19,7,192.91848065161827
19,8,179.8649741377021
19,9,203.12918726032652
19,10,279.16693550980364
19,11,349.26149220313465
19,12,535.2419110173194
20,1,489.9905635009312
20,2,554.3668328146947
